year,dead_fuel_moisture_1000hr,dead_fuel_moisture_100hr,max_air_temperature,max_relative_humidity,min_air_temperature,min_relative_humidity,precipitation_amount,specific_humidity,surface_downwelling_shortwave_flux_in_air,SWE,wind_from_direction,wind_speed
1993,,,,,,,,,,0.0170907418761496,,
1994,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0170907418761496,0.0036020846106683017,0.0036020846106683017
1995,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0170907418761496,0.0036020846106683017,0.0036020846106683017
1996,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0170907418761496,0.0036020846106683017,0.0036020846106683017
1997,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0170907418761496,0.0036020846106683017,0.0036020846106683017
1998,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0170907418761496,0.0036020846106683017,0.0036020846106683017
1999,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0170907418761496,0.0036020846106683017,0.0036020846106683017
2000,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0036020846106683017,0.0170907418761496,0.0036020846106683017,0.0036020846106683017
2001,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7338421675919471,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0025007768996245685,0.0009963212752912324
2002,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009967412210342423,0.8078636940107338,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.002598834230617404,0.0009963212752912324
2003,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7267969478343398,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0023657643432468526,0.0009963212752912324
2004,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.776965588177155,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.002513627698317771,0.0009963212752912324
2005,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7124207352410069,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0021925367242552262,0.0009963212752912324
2006,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7096049990341248,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.002297103214264717,0.0009963212752912324
2007,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7939273745832038,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.002429596096184373,0.0009963212752912324
2008,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.8057355690464464,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0026562285365845486,0.0009963212752912324
2009,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.786292760975282,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0024890184188202883,0.0009963212752912324
2010,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7434372979011111,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0022276021937965617,0.0009963212752912324
2011,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7788032386215701,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.002387181576140363,0.0009963212752912324
2012,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7881657218575885,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.008253887286287202,0.0009963212752912324
2013,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.8666518985747041,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.002076211753441455,0.0009963212752912324
2014,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.8190182928365655,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.002562718896718544,0.0009963212752912324
2015,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.8137882885531189,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0009963212752912324,0.0009963212752912324
2016,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7554284642161938,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0009963212752912324,0.0009963212752912324
2017,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7558231776454483,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0009963212752912324,0.0009963212752912324
2018,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7995783744740179,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0009963212752912324,0.0009963212752912324
2019,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7287706928264868,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0009963212752912324,0.0009963212752912324
2020,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.8244803550069856,0.0009963212752912324,0.0009963212752912324,0.0170907418761496,0.0025695372780787542,0.0009963212752912324
2021,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7878977936050662,0.0009963212752912324,0.0009963212752912324,,0.0022259224108245215,0.0009963212752912324
2022,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.8289764662405618,0.0009963212752912324,0.0009963212752912324,,0.002162510603630011,0.0009963212752912324
2023,0.0009963212752912324,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.00030656039239730225,0.0009963212752912324,0.7315177679043867,0.0009963212752912324,0.0009963212752912324,,0.0020751618890839305,0.0009963212752912324
